fips,NAME,income
05107,"Phillips County, Arkansas",37458
05109,"Pike County, Arkansas",49248
05111,"Poinsett County, Arkansas",43440
05113,"Polk County, Arkansas",48449
05115,"Pope County, Arkansas",51678
05117,"Prairie County, Arkansas",47045
05119,"Pulaski County, Arkansas",58326
05121,"Randolph County, Arkansas",45993
05123,"St. Francis County, Arkansas",39822
05125,"Saline County, Arkansas",73236
05127,"Scott County, Arkansas",45340
05129,"Searcy County, Arkansas",42063
05131,"Sebastian County, Arkansas",54047
05133,"Sevier County, Arkansas",53567
05135,"Sharp County, Arkansas",43332
05137,"Stone County, Arkansas",37664
05139,"Union County, Arkansas",49745
05141,"Van Buren County, Arkansas",45768
05143,"Washington County, Arkansas",61985
05145,"White County, Arkansas",51144
05147,"Woodruff County, Arkansas",49608
05149,"Yell County, Arkansas",55879
06001,"Alameda County, California",122488
06003,"Alpine County, California",101125
06005,"Amador County, California",74853
06007,"Butte County, California",66085
06009,"Calaveras County, California",77526
06011,"Colusa County, California",69619
06013,"Contra Costa County, California",120020
06015,"Del Norte County, California",61149
06017,"El Dorado County, California",99246
06019,"Fresno County, California",67756
06021,"Glenn County, California",64033
06023,"Humboldt County, California",57881
06025,"Imperial County, California",53847
06027,"Inyo County, California",63417
06029,"Kern County, California",63883
06031,"Kings County, California",68540
06033,"Lake County, California",56259
06035,"Lassen County, California",59515
06037,"Los Angeles County, California",83411
06039,"Madera County, California",73543
06041,"Marin County, California",142019
06043,"Mariposa County, California",60021
06045,"Mendocino County, California",61335
06047,"Merced County, California",64772
06049,"Modoc County, California",54962
06051,"Mono County, California",82038
06053,"Monterey County, California",91043
06055,"Napa County, California",105809
06057,"Nevada County, California",79395
06059,"Orange County, California",109361
06061,"Placer County, California",109375
06063,"Plumas County, California",67885
06065,"Riverside County, California",84505
06067,"Sacramento County, California",84010
06069,"San Benito County, California",104451
06071,"San Bernardino County, California",77423
06073,"San Diego County, California",96974
06075,"San Francisco County, California",136689
06077,"San Joaquin County, California",82837
06079,"San Luis Obispo County, California",90158
06081,"San Mateo County, California",149907
06083,"Santa Barbara County, California",92332
06085,"Santa Clara County, California",153792
06087,"Santa Cruz County, California",104409
06089,"Shasta County, California",68347
06091,"Sierra County, California",61108
06093,"Siskiyou County, California",53898
06095,"Solano County, California",97037
06097,"Sonoma County, California",99266
06099,"Stanislaus County, California",74872
06101,"Sutter County, California",72654
06103,"Tehama County, California",59029
06105,"Trinity County, California",47317
06107,"Tulare County, California",64474
06109,"Tuolumne County, California",70432
06111,"Ventura County, California",102141
06113,"Yolo County, California",85097
06115,"Yuba County, California",66693
08001,"Adams County, Colorado",86297
08003,"Alamosa County, Colorado",52271
08005,"Arapahoe County, Colorado",92292
08007,"Archuleta County, Colorado",66813
08009,"Baca County, Colorado",42115
08011,"Bent County, Colorado",45776
08013,"Boulder County, Colorado",99770
08014,"Broomfield County, Colorado",117541
08015,"Chaffee County, Colorado",65703
08017,"Cheyenne County, Colorado",65577
08019,"Clear Creek County, Colorado",87169
08021,"Conejos County, Colorado",44093
08023,"Costilla County, Colorado",34578
08025,"Crowley County, Colorado",40685
08027,"Custer County, Colorado",66250
08029,"Delta County, Colorado",56349
08031,"Denver County, Colorado",85853
08033,"Dolores County, Colorado",64708
08035,"Douglas County, Colorado",139010
08037,"Eagle County, Colorado",98887
08039,"Elbert County, Colorado",124360
08041,"El Paso County, Colorado",82748
08043,"Fremont County, Colorado",56165
08045,"Garfield County, Colorado",82772
08047,"Gilpin County, Colorado",95902
08049,"Grand County, Colorado",79367
08051,"Gunnison County, Colorado",76538
08053,"Hinsdale County, Colorado",58712
08055,"Huerfano County, Colorado",49631
08057,"Jackson County, Colorado",38686
08059,"Jefferson County, Colorado",103167
08061,"Kiowa County, Colorado",45250
08063,"Kit Carson County, Colorado",58992
08065,"Lake County, Colorado",78942
08067,"La Plata County, Colorado",81936
08069,"Larimer County, Colorado",87199
08071,"Las Animas County, Colorado",48965
08073,"Lincoln County, Colorado",59167
08075,"Logan County, Colorado",54864
08077,"Mesa County, Colorado",68077
08079,"Mineral County, Colorado",58929
08081,"Moffat County, Colorado",63983
08083,"Montezuma County, Colorado",61377
08085,"Montrose County, Colorado",62817
08087,"Morgan County, Colorado",70471
08089,"Otero County, Colorado",47500
08091,"Ouray County, Colorado",78750
08093,"Park County, Colorado",85019
08095,"Phillips County, Colorado",58474
08097,"Pitkin County, Colorado",96123
08099,"Prowers County, Colorado",49422
08101,"Pueblo County, Colorado",59436
08103,"Rio Blanco County, Colorado",69882
08105,"Rio Grande County, Colorado",57591
08107,"Routt County, Colorado",95144
08109,"Saguache County, Colorado",51946
08111,"San Juan County, Colorado",67344
08113,"San Miguel County, Colorado",72829
08115,"Sedgwick County, Colorado",45855
08117,"Summit County, Colorado",100611
08119,"Teller County, Colorado",69655
08121,"Washington County, Colorado",59087
08123,"Weld County, Colorado",89182
08125,"Yuma County, Colorado",60118
09110,"Capitol Planning Region, Connecticut",88190
09120,"Greater Bridgeport Planning Region, Connecticut",83147
09130,"Lower Connecticut River Valley Planning Region, Connecticut",99742
09140,"Naugatuck Valley Planning Region, Connecticut",82939
09150,"Northeastern Connecticut Planning Region, Connecticut",83119
09160,"Northwest Hills Planning Region, Connecticut",87971
09170,"South Central Connecticut Planning Region, Connecticut",83617
09180,"Southeastern Connecticut Planning Region, Connecticut",80330
09190,"Western Connecticut Planning Region, Connecticut",118930
10001,"Kent County, Delaware",69278
10003,"New Castle County, Delaware",85309
10005,"Sussex County, Delaware",75406
11001,"District of Columbia, District of Columbia",101722
12001,"Alachua County, Florida",57566
12003,"Baker County, Florida",67872
12005,"Bay County, Florida",65999
12007,"Bradford County, Florida",54759
12009,"Brevard County, Florida",71308
12011,"Broward County, Florida",70331
12013,"Calhoun County, Florida",41526
12015,"Charlotte County, Florida",62164
12017,"Citrus County, Florida",52569
12019,"Clay County, Florida",82242
12021,"Collier County, Florida",82011
12023,"Columbia County, Florida",53501
12027,"DeSoto County, Florida",45000
12029,"Dixie County, Florida",45057
12031,"Duval County, Florida",65579
12033,"Escambia County, Florida",61642
12035,"Flagler County, Florida",69251
12037,"Franklin County, Florida",58107
12039,"Gadsden County, Florida",45721
12041,"Gilchrist County, Florida",56823
12043,"Glades County, Florida",37221
12045,"Gulf County, Florida",56250
12047,"Hamilton County, Florida",47668
12049,"Hardee County, Florida",44665
12051,"Hendry County, Florida",49259
12053,"Hernando County, Florida",59202
12055,"Highlands County, Florida",53679
12057,"Hillsborough County, Florida",70612
12059,"Holmes County, Florida",46063
12061,"Indian River County, Florida",67543
12063,"Jackson County, Florida",46144
12065,"Jefferson County, Florida",51573
12067,"Lafayette County, Florida",57852
12069,"Lake County, Florida",66239
12071,"Lee County, Florida",69368
12073,"Leon County, Florida",61317
12075,"Levy County, Florida",49933
12077,"Liberty County, Florida",51723
12079,"Madison County, Florida",43386
12081,"Manatee County, Florida",71385
12083,"Marion County, Florida",55265
12085,"Martin County, Florida",77894
12086,"Miami-Dade County, Florida",64215
12087,"Monroe County, Florida",80111
12089,"Nassau County, Florida",84085
12091,"Okaloosa County, Florida",73988
12093,"Okeechobee County, Florida",50476
12095,"Orange County, Florida",72629
12097,"Osceola County, Florida",64312
12099,"Palm Beach County, Florida",76066
12101,"Pasco County, Florida",63187
12103,"Pinellas County, Florida",66406
12105,"Polk County, Florida",60901
12107,"Putnam County, Florida",44852
12109,"St. Johns County, Florida",100020
12111,"St. Lucie County, Florida",66154
12113,"Santa Rosa County, Florida",84715
12115,"Sarasota County, Florida",77213
12117,"Seminole County, Florida",79490
12119,"Sumter County, Florida",70105
12121,"Suwannee County, Florida",49729
12123,"Taylor County, Florida",46239
12125,"Union County, Florida",64043
12127,"Volusia County, Florida",63075
12129,"Wakulla County, Florida",72035
12131,"Walton County, Florida",74832
12133,"Washington County, Florida",47536
13001,"Appling County, Georgia",43268
13003,"Atkinson County, Georgia",38007
13005,"Bacon County, Georgia",43938
13007,"Baker County, Georgia",45417
13009,"Baldwin County, Georgia",54699
13011,"Banks County, Georgia",69096
13013,"Barrow County, Georgia",75053
13015,"Bartow County, Georgia",74812
13017,"Ben Hill County, Georgia",38255
13019,"Berrien County, Georgia",48670
13021,"Bibb County, Georgia",48897
13023,"Bleckley County, Georgia",56021
13025,"Brantley County, Georgia",40166
13027,"Brooks County, Georgia",42263
13029,"Bryan County, Georgia",90627
13031,"Bulloch County, Georgia",53675
13033,"Burke County, Georgia",50321
13035,"Butts County, Georgia",60076
13037,"Calhoun County, Georgia",48663
13039,"Camden County, Georgia",68104
13043,"Candler County, Georgia",45519
13045,"Carroll County, Georgia",66895
13047,"Catoosa County, Georgia",68896
13049,"Charlton County, Georgia",45770
13051,"Chatham County, Georgia",66171
13053,"Chattahoochee County, Georgia",52943
13055,"Chattooga County, Georgia",43556
13057,"Cherokee County, Georgia",100824
13059,"Clarke County, Georgia",48692
13061,"Clay County, Georgia",43264
13063,"Clayton County, Georgia",56207
13065,"Clinch County, Georgia",53350
13067,"Cobb County, Georgia",94244
13069,"Coffee County, Georgia",48398
13071,"Colquitt County, Georgia",47235
13073,"Columbia County, Georgia",92571
13075,"Cook County, Georgia",46706
13077,"Coweta County, Georgia",90031
13079,"Crawford County, Georgia",56948
13081,"Crisp County, Georgia",47463
13083,"Dade County, Georgia",59531
13085,"Dawson County, Georgia",84516
13087,"Decatur County, Georgia",47383
13089,"DeKalb County, Georgia",76044
13091,"Dodge County, Georgia",46091
13093,"Dooly County, Georgia",54109
13095,"Dougherty County, Georgia",45640
13097,"Douglas County, Georgia",76930
13099,"Early County, Georgia",48355
13101,"Echols County, Georgia",61184
13103,"Effingham County, Georgia",79474
13105,"Elbert County, Georgia",48190
13107,"Emanuel County, Georgia",47905
13109,"Evans County, Georgia",55222
13111,"Fannin County, Georgia",54857
13113,"Fayette County, Georgia",105910
13115,"Floyd County, Georgia",57868
13117,"Forsyth County, Georgia",131660
13119,"Franklin County, Georgia",52597
13121,"Fulton County, Georgia",86267
13123,"Gilmer County, Georgia",70334
13125,"Glascock County, Georgia",60469
13127,"Glynn County, Georgia",65970
13129,"Gordon County, Georgia",57555
13131,"Grady County, Georgia",51929
13133,"Greene County, Georgia",77527
13135,"Gwinnett County, Georgia",82296
13137,"Habersham County, Georgia",61292
13139,"Hall County, Georgia",74153
13141,"Hancock County, Georgia",31767
13143,"Haralson County, Georgia",65940
13145,"Harris County, Georgia",85936
13147,"Hart County, Georgia",61765
13149,"Heard County, Georgia",62965
13151,"Henry County, Georgia",79663
13153,"Houston County, Georgia",76968
13155,"Irwin County, Georgia",46383
13157,"Jackson County, Georgia",82056
13159,"Jasper County, Georgia",57374
13161,"Jeff Davis County, Georgia",41780
13163,"Jefferson County, Georgia",46865
13165,"Jenkins County, Georgia",31463
13167,"Johnson County, Georgia",47796
13169,"Jones County, Georgia",66288
13171,"Lamar County, Georgia",64966
13173,"Lanier County, Georgia",39971
13175,"Laurens County, Georgia",46776
13177,"Lee County, Georgia",83632
13179,"Liberty County, Georgia",55149
13181,"Lincoln County, Georgia",50754
